Start,End,Sleep quality,Time in bed,Wake up,Heart rate,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total
3/14/2016 22:16,3/15/2016 5:46,79%,7:29,,,0,0,0,1,0,1
3/15/2016 22:41,3/16/2016 6:25,85%,7:43,,,0,0,1,1,0,1
3/16/2016 22:25,3/17/2016 7:05,90%,8:39,,,0,0,1,0,0,1
3/17/2016 22:46,3/18/2016 7:08,98%,8:22,,,0,0,1,1,0,0
3/18/2016 22:17,3/19/2016 7:47,87%,9:30,,,0,0,1,0,0,0
3/20/2016 22:13,3/21/2016 7:26,80%,9:13,,,0,0,1,0,0,0
3/21/2016 22:37,3/22/2016 7:32,80%,8:54,,,0,0,1,0,0,0
3/22/2016 21:22,3/23/2016 6:19,80%,8:56,,,0,0,1,1,0,0
3/23/2016 22:06,3/24/2016 5:20,65%,7:13,,,0,0,1,1,0,1
3/27/2016 23:28,3/28/2016 7:30,82%,8:01,,,0,0,1,0,0,0
3/28/2016 23:32,3/29/2016 6:29,75%,6:56,,,0,1,1,0,0,1
3/29/2016 23:12,3/30/2016 6:25,66%,7:13,,,0,0,1,0,0,1
3/30/2016 22:58,3/31/2016 6:25,58%,7:26,,,0,0,1,1,0,1
