,Start,End,Sleep quality,Time in bed,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total
178,2015-09-24 22:37:00,2015-09-25 06:00:00,0.83,433.2,0,0,1,1,1,1
179,2015-09-27 22:57:00,2015-09-28 07:00:00,0.82,481.2,0,0,0,1,0,0
180,2015-09-28 21:12:00,2015-09-29 05:15:00,0.9,481.2,0,0,0,1,0,1
181,2015-09-29 22:54:00,2015-09-30 06:20:00,0.89,435.0,0,0,1,1,1,1
182,2015-09-30 23:57:00,2015-10-01 06:14:00,0.62,369.6,0,0,1,1,0,1
183,2015-10-03 00:09:00,2015-10-03 07:26:00,0.69,430.2,0,0,1,0,0,1
184,2015-10-11 00:27:00,2015-10-11 08:58:00,1.0,498.6,0,1,1,0,0,0
185,2015-10-12 21:59:00,2015-10-13 06:00:00,0.74,480.59999999999997,0,0,1,1,1,1
186,2015-10-13 22:19:00,2015-10-14 04:59:00,0.59,384.0,0,0,1,0,0,1
187,2015-10-14 05:00:00,2015-10-14 06:00:00,0.13,60.0,0,0,0,0,0,0
188,2015-10-14 22:40:00,2015-10-15 06:20:00,0.68,444.0,0,0,0,1,0,1
189,2015-10-15 22:12:00,2015-10-16 06:21:00,0.67,484.8,0,0,1,1,0,1
190,2015-10-17 00:45:00,2015-10-17 07:37:00,0.57,390.59999999999997,0,0,1,1,0,0
191,2015-10-18 21:52:00,2015-10-19 06:20:00,0.67,496.2,0,0,1,0,0,0
192,2015-10-20 21:38:00,2015-10-21 06:20:00,0.88,505.2,0,0,1,1,0,0
193,2015-10-21 22:41:00,2015-10-22 06:20:00,0.77,443.4,0,0,1,1,0,0
194,2015-10-22 21:46:00,2015-10-23 05:30:00,0.8,446.40000000000003,0,0,1,1,0,1
195,2015-10-24 00:32:00,2015-10-24 08:12:00,0.77,444.0,0,0,1,1,0,1
196,2015-10-24 22:38:00,2015-10-25 06:33:00,0.81,453.0,0,0,1,1,0,0
197,2015-10-26 23:09:00,2015-10-27 06:05:00,0.77,393.0,0,0,1,1,0,0
198,2015-10-27 21:34:00,2015-10-28 05:35:00,0.78,480.59999999999997,0,0,1,0,0,1
199,2015-10-28 22:28:00,2015-10-29 06:20:00,0.83,450.59999999999997,0,0,0,1,0,1
200,2015-10-29 22:30:00,2015-10-30 06:10:00,0.81,444.0,0,0,0,1,0,1
201,2015-10-31 01:01:00,2015-10-31 07:50:00,0.5,388.8,0,0,1,1,0,0
202,2015-11-02 22:00:00,2015-11-03 06:10:00,0.83,485.4,0,0,1,1,0,1
203,2015-11-03 22:46:00,2015-11-04 06:09:00,0.75,433.8,0,0,1,1,0,1
204,2015-11-04 22:49:00,2015-11-05 06:00:00,0.65,426.6,0,0,1,1,0,1
