Sleep quality,Time in bed,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total,Fell asleep
69,511,0,0,1,0,0,0,2138
83,450,0,0,1,1,1,0,2159
60,442,0,0,1,1,0,1,2257
55,383,0,0,1,0,0,0,31
83,442,0,0,1,1,1,1,2237
50,408,0,0,1,1,0,0,101
83,452,0,0,1,1,0,1,2256
72,493,0,0,1,1,0,0,2217
70,369,0,0,1,1,1,0,2251
93,493,0,1,0,1,0,1,2157
77,494,0,0,1,0,0,0,8
75,468,0,0,1,1,0,1,2246
79,530,0,0,1,0,0,0,2133
84,440,0,0,1,1,0,1,2202
88,499,0,0,1,1,0,1,2147
91,520,0,0,0,1,0,0,2255
84,465,0,1,1,0,0,0,2207
90,531,0,1,1,0,0,1,2133
85,499,0,0,1,0,0,0,2204
94,486,0,0,1,0,0,1,2218
95,486,0,0,1,1,0,1,2215
82,413,0,0,0,1,0,1,2247
67,519,0,0,1,0,0,0,2144
94,521,0,1,1,1,0,1,2143
75,532,0,0,1,1,0,0,2134
81,463,0,0,0,1,0,0,2230
87,451,0,0,1,1,1,1,2207
93,471,0,0,1,1,0,0,2320
79,434,0,1,1,0,0,0,2226
76,390,0,0,1,0,0,1,0
90,480,0,0,1,0,0,0,2332
96,492,0,0,1,0,0,1,2253
76,457,0,0,1,0,0,1,2223
86,487,0,0,1,0,0,1,2154
60,434,1130,0,1,0,0,0,2305
57,475,2191,0,1,0,0,1,2228
60,479,5765,0,0,1,0,0,2211
60,429,10392,0,1,1,0,1,2310
61,484,8406,0,1,0,0,1,2226
68,443,1283,0,1,0,0,1,2246
65,437,8981,0,1,1,0,1,2237
72,560,5274,0,0,1,0,0,2214
70,476,2670,0,1,0,0,0,2310
79,563,4629,0,0,1,0,0,2248
89,482,3158,0,1,1,0,0,118
78,431,3391,0,1,1,0,0,2235
72,452,7709,0,0,1,0,1,2213
85,481,168,0,0,1,0,0,2214
86,453,8488,0,1,1,0,0,2356
83,482,3448,0,1,1,0,1,2202
79,442,3094,0,0,1,0,0,34
75,451,7112,0,0,1,0,0,2129
89,474,12802,0,0,1,0,1,2327
84,474,1734,0,1,1,0,0,2220
76,489,6368,0,0,1,0,0,2222
89,455,4772,0,1,1,0,0,2234
78,456,5379,0,1,1,0,1,2244
85,495,6010,0,0,1,0,1,2054
85,491,2309,0,1,1,0,0,2219
54,405,4200,0,1,1,0,1,2212
80,429,2983,0,1,1,0,0,2358
63,394,3228,0,1,0,0,0,2327
68,455,6833,0,1,1,0,0,2345
71,470,7552,0,1,1,1,1,2230
71,415,5339,0,1,1,0,0,2334
79,468,3361,0,0,1,0,0,28
63,556,2756,0,1,1,0,0,2149
66,484,460,0,1,1,0,0,2212
12,55,5862,0,0,0,0,0,534
83,451,4258,0,0,1,0,0,2130
12,57,7351,0,0,0,0,0,543
80,426,6388,0,1,1,1,1,246
96,496,6785,0,1,1,0,0,12
86,494,2679,0,1,1,0,0,2242
89,497,5933,0,0,1,0,1,2106
79,438,2750,0,1,1,0,0,2
89,534,302,0,0,1,0,0,2226
100,476,3549,0,1,1,0,0,2319
83,449,3554,0,1,1,0,1,2203
81,489,8396,0,0,1,0,1,2201
78,431,7823,0,1,1,0,1,2229
68,427,14408,0,1,1,0,1,2312
93,531,8615,0,1,1,0,1,2242
86,464,2666,0,1,1,0,0,53
64,471,6551,0,1,1,0,1,2248
83,549,8072,0,1,1,0,1,2236
90,517,3357,1,1,1,0,0,2339
72,467,7491,0,1,1,0,1,2228
64,389,6073,0,1,1,0,1,2333
90,476,6764,0,1,1,0,1,2244
75,461,1450,0,1,0,0,0,2237
80,461,4562,0,1,1,0,1,2259
76,494,5391,1,1,1,0,1,2138
88,462,7711,1,1,0,0,1,2228
70,510,255,0,0,1,0,0,2147
75,501,6430,0,1,0,1,1,2159
74,474,9204,0,0,0,0,0,2218
31,153,12153,0,0,0,0,0,501
76,468,7106,0,0,0,0,0,2219
74,464,114,0,0,0,0,0,2326
66,459,5251,0,0,0,0,0,2222
81,432,17770,0,0,0,0,0,31
70,446,6672,0,0,0,0,0,2257
74,468,7474,0,0,0,0,0,2207
77,463,7007,0,0,0,0,0,2231
66,475,6430,0,0,0,0,0,2148
67,433,6915,0,0,0,0,0,2312
73,477,11076,0,0,0,0,0,2233
72,529,3834,0,0,0,0,0,2200
5,21,6485,0,0,0,0,0,534
51,477,1552,0,0,0,0,0,2153
82,459,1837,0,0,0,0,0,2239
81,480,5152,0,0,0,0,0,2337
81,453,5280,0,0,0,0,0,2232
86,484,6059,0,0,0,0,0,2203
73,506,2429,0,0,0,0,0,2314
71,461,7213,0,0,0,0,0,2250
84,494,3230,0,0,0,0,0,2307
83,482,10076,0,0,0,0,0,2206
81,450,8922,0,0,0,0,0,2238
75,424,5320,0,0,0,0,0,2336
76,467,5184,0,0,0,0,0,2216
49,333,9304,0,0,0,0,0,2329
73,481,5050,0,0,0,0,0,2217
83,471,5919,0,0,0,0,0,2329
80,526,2809,0,0,0,0,0,2314
93,574,52,0,0,0,0,0,2116
79,506,75,0,0,0,0,0,2139
71,607,1588,0,0,0,0,0,2157
59,502,4553,0,0,0,0,0,2130
69,429,4287,0,0,0,0,0,2247
91,545,5064,0,0,0,0,0,2219
78,501,3342,0,0,0,0,0,2141
70,588,6296,0,0,0,0,0,2150
73,468,9237,0,0,0,0,0,2202
91,491,3281,0,0,0,0,0,2308
72,452,1325,0,0,0,0,0,2229
96,548,362,0,0,0,0,0,2229
80,446,7565,0,0,0,0,0,2234
82,508,5039,0,0,0,0,0,2144
95,515,0,0,0,0,0,0,2339
91,504,1901,0,0,0,0,0,2244
72,465,6970,0,0,0,0,0,2209
71,536,3316,0,0,0,0,0,2124
79,500,3088,0,0,0,0,0,2205
70,426,47,0,0,0,0,0,2154
92,547,1720,0,0,0,0,0,2213
81,447,6518,0,0,0,0,0,121
80,560,3319,0,0,0,0,0,2125
81,431,64,0,0,0,0,0,2349
84,440,7293,0,0,1,0,0,2348
84,496,202,0,0,1,0,0,2207
65,477,7122,0,1,1,0,0,2242
92,495,1740,0,1,1,0,0,2214
84,437,3492,0,1,1,0,0,2255
91,482,4573,0,1,1,0,0,2322
59,415,3588,0,1,1,0,0,2317
44,468,5558,0,1,1,0,0,2236
93,500,3027,0,1,1,0,0,2349
72,431,5499,0,1,1,0,0,2314
71,464,9185,0,1,1,0,1,2233
95,484,7887,0,1,1,0,1,2233
80,387,9461,0,1,1,0,0,210
73,395,7948,0,1,1,0,1,2345
73,462,4581,0,0,1,0,0,2323
66,461,780,0,1,1,0,0,2212
75,446,7905,0,1,1,0,1,2215
72,447,10319,0,1,1,0,1,2307
68,486,7337,0,1,1,0,1,2225
77,496,4810,0,1,1,0,1,2147
